visibility,datetime,timezone offset,city name,longitud,latitud,temperature,feels Like,pressure,humidity,wind speed,wind deg,clouds,country,sunrise,sunset,wind gust
10000,2023-08-13,3600,London,-0.1257,51.5085,17.3,17.12,1012,78,3.6,210,79,GB,2023-08-13,2023-08-13,
10000,2023-08-13,-14400,New York,-74.006,40.7143,30.32,31.2,1012,48,8.49,300,0,US,2023-08-13,2023-08-13,10.28
10000,2023-08-13,-10800,Córdoba,-64.1811,-31.4135,24.47,23.57,1015,23,4.12,300,0,AR,2023-08-13,2023-08-13,
10000,2023-08-13,28800,Taipei,121.5319,25.0478,27.62,28.72,1004,58,2.24,130,20,TW,2023-08-13,2023-08-14,3.13
10000,2023-08-13,-10800,Buenos Aires,-58.3772,-34.6132,14.21,12.68,1019,38,7.6,270,0,AR,2023-08-13,2023-08-13,12.52
10000,2023-08-13,-21600,Mexico City,-99.1277,19.4285,24.53,24.03,1018,38,6.17,250,100,MX,2023-08-13,2023-08-14,
10000,2023-08-13,-25200,Dublin,-121.9358,37.7021,30.92,30.05,1013,34,4.63,280,0,US,2023-08-13,2023-08-14,
10000,2023-08-13,14400,Tbilisi,44.8337,41.6941,26.84,27.1,1019,47,1.03,0,0,GE,2023-08-14,2023-08-14,
10000,2023-08-13,-18000,Bogota,-74.0817,4.6097,16.73,16.0,1025,59,4.12,150,40,CO,2023-08-13,2023-08-13,
10000,2023-08-13,32400,Tokyo,139.6917,35.6895,28.15,34.41,1003,91,5.14,60,20,JP,2023-08-13,2023-08-14,
